"Step","hl256-128-64_bs64_lr0.001_optadam - val_loss","hl256-128-64_bs64_lr0.001_optadam - val_loss__MIN","hl256-128-64_bs64_lr0.001_optadam - val_loss__MAX"
"0","0.9769143766940281","0.40543622738080964","2.3029696615755775"
"1","0.9409165071953156","0.33888600696428095","2.3026965843636646"
"2","0.9441168410002261","0.3364176008783818","2.3030045018787098"
"3","0.9169326675724099","0.3105068930869404","2.302764129114283"
"4","0.9218474511611354","0.3024060922937147","2.3026954971052604"
"5","0.9096491707017131","0.3104349535002027","2.302712963583438"
"6","0.9164203733746094","0.3178370433183082","2.302936940044985"
"7","0.9098957755777588","0.30793597214748125","2.3028621345473397"
"8","0.9124772440587983","0.28910593881320557","2.3028114892857645"
"9","0.9007672583429616","0.3124560160335611","2.302774430651655"
"10","0.9028003641291258","0.3167323634461668","2.302823359037908"
"11","0.9060175766747213","0.31451470813607646","2.3028407744084975"
"12","0.8994912327968319","0.3094039535878906","2.302839621184629"
"13","0.901072758116279","0.30564716218680305","2.302801383224007"
"14","0.8996187338032859","0.3063747418118608","2.3029854459975696"
"15","0.8989241917635207","0.31136934926359777","2.3028890013378196"
"16","0.9005744551163083","0.30818994341030903","2.3028904628988496"
"17","0.9052920994229197","0.33539263523646323","2.302883723602907"
"18","0.9058228569974025","0.3324935107320026","2.3028356023043184"
"19","0.9120371513814527","0.3336164503076478","2.3026383605257505"